rnti,frame,slot,dci,rb_alloc,mcs,rv_idx1,harq_process
18161,348,15,0_1,0x30,24,0,0
18161,349,11,0_1,0x62,24,0,0
18161,350,5,1_1,0x0,27,0,0
18161,350,7,1_1,0x64,26,0,1
18161,352,15,0_1,0x2,24,0,0
18161,356,15,0_1,0x62,23,0,0
18161,357,6,1_1,0x0,27,0,0
18161,357,7,1_1,0x33,26,0,1
18161,358,15,0_1,0x62,21,0,0
18161,359,6,1_1,0x32,27,0,0
18161,359,7,1_1,0x64,26,0,1
18161,359,10,1_1,0x0,27,0,2
18161,359,12,1_1,0x65,27,0,3
18161,359,13,1_1,0x12c,27,0,4
18161,359,14,1_1,0x3fc,27,0,5
18161,360,15,0_1,0x62,21,0,0
18161,361,11,0_1,0x30,24,0,0
18161,362,5,1_1,0x32,27,0,0
18161,362,7,1_1,0x33,26,0,1
18161,364,15,0_1,0x30,24,0,0
18161,365,11,0_1,0x2,24,1,0
18161,392,13,1_1,0x32,27,0,0
18161,410,15,0_1,0x30,25,0,0
18161,411,11,0_1,0x2,25,1,0
18161,412,6,1_1,0x32,27,0,0
18161,412,7,1_1,0x33,26,0,1
18161,414,15,0_1,0x2,25,0,0
18161,415,11,0_1,0x30,25,0,0
18161,416,5,0_1,0x30,25,1,0
18161,416,16,1_1,0x0,27,0,0
18161,417,0,1_1,0x64,27,0,1
18161,417,2,1_1,0x65,27,0,2
18161,417,3,1_1,0xff,27,0,3
18161,417,4,1_1,0x3fc,27,0,4
18161,418,15,0_1,0x2,26,0,0
18161,419,11,0_1,0x2,26,1,0
18161,420,5,0_1,0x2,25,0,0
18161,420,16,1_1,0x0,27,0,0
18161,421,0,1_1,0x0,27,0,1
18161,422,15,0_1,0x30,25,0,0
18161,442,15,1_1,0x32,27,0,0
18161,492,17,1_1,0x32,26,0,0
18161,502,15,0_1,0x30,24,0,0
18161,503,6,1_1,0x0,27,0,0
18161,503,7,1_1,0x64,26,0,1
18161,504,15,0_1,0x30,24,0,0
18161,505,11,0_1,0x2,22,0,0
18161,506,5,1_1,0x32,27,0,0
18161,506,7,1_1,0x64,26,0,1
18161,506,10,1_1,0x0,27,0,2
18161,506,12,1_1,0x65,26,0,3
18161,506,13,1_1,0x190,27,0,4
18161,506,14,1_1,0x41a,27,0,5
18161,508,15,0_1,0x62,23,0,0
18161,509,6,1_1,0x32,27,0,0
18161,509,7,1_1,0x33,26,0,1
18161,510,15,0_1,0x42,21,0,0
18161,543,0,1_1,0x0,27,0,0
18161,552,15,0_1,0x62,23,0,0
18161,553,6,1_1,0x32,27,0,0
18161,553,7,1_1,0x64,26,0,1
18161,554,15,0_1,0x62,21,0,0
18161,555,6,1_1,0x0,27,0,0
18161,555,7,1_1,0x33,26,0,1
18161,555,10,1_1,0x32,27,0,2
18161,555,12,1_1,0x65,27,0,3
18161,555,13,1_1,0xff,27,0,4
18161,555,14,1_1,0x41a,27,0,5
18161,556,15,0_1,0x62,22,0,0
18161,557,11,0_1,0x30,24,0,0
18161,558,5,1_1,0x32,27,0,0
18161,558,7,1_1,0x64,26,0,1
18161,560,15,0_1,0x62,21,0,0
18161,593,1,1_1,0x32,27,0,0
18161,614,15,0_1,0x62,21,0,0
18161,615,6,1_1,0x32,27,0,0
18161,615,7,1_1,0x33,26,0,1
18161,616,15,0_1,0x42,22,0,0
18161,617,6,1_1,0x32,27,0,0
18161,617,7,1_1,0x33,26,0,1
18161,617,10,1_1,0x32,27,0,2
18161,617,12,1_1,0x65,27,0,3
18161,617,13,1_1,0x12c,27,0,4
18161,617,14,1_1,0x41a,27,0,5
18161,618,15,0_1,0x2,24,0,0
18161,619,11,0_1,0x62,25,0,0
18161,620,6,1_1,0x32,27,0,0
18161,620,7,1_1,0x64,26,0,1
18161,622,15,0_1,0x42,23,0,0
18161,643,3,1_1,0x0,27,0,0
18161,693,5,1_1,0x32,27,0,0
18161,718,15,0_1,0x42,23,0,0
18161,719,6,1_1,0x32,27,0,0
18161,719,7,1_1,0x64,26,0,1
18161,720,15,0_1,0x30,25,0,0
18161,721,11,0_1,0x30,25,1,0
18161,722,5,0_1,0x30,21,0,0
18161,722,16,1_1,0x32,27,0,0
18161,723,0,1_1,0x64,27,0,1
18161,723,2,1_1,0x65,27,0,2
18161,723,3,1_1,0x12c,27,0,3
18161,723,4,1_1,0x3fc,27,0,4
18161,724,15,0_1,0x2,24,0,0
18161,725,11,0_1,0x35,25,0,0
18161,726,5,1_1,0x32,27,0,0
18161,726,7,1_1,0x64,26,0,1
18161,728,15,0_1,0x2,25,0,0
18161,729,11,0_1,0x2,25,1,0
18161,732,15,0_1,0x2,25,0,0
18161,733,11,0_1,0x2,25,1,0
18161,734,5,1_1,0x32,27,0,0
18161,734,7,1_1,0x0,26,0,1
18161,735,5,1_1,0x0,31,0,1
18161,735,16,1_1,0x32,31,0,1
18161,736,15,1_1,0x32,31,0,1
18161,737,6,1_1,0x0,31,0,1
18161,738,17,1_1,0x96,3,0,0
18161,739,15,1_1,0x66,28,0,0
18161,740,6,1_1,0x96,28,0,0
18161,741,5,1_1,0x66,28,0,0
18161,741,16,1_1,0x96,28,0,0
18161,742,15,0_1,0x42,23,0,0
18161,743,7,1_1,0x32,14,0,0
18161,743,11,0_1,0x62,23,1,0
18161,744,5,0_1,0x35,23,2,0
18161,744,6,1_1,0x0,30,0,0
269,713,10,1_0,0x5e,0,0,39
18162,714,5,1_0,0x468,0,1,0
18162,716,15,0_1,0x62,28,0,0
18162,717,6,1_1,0x0,6,0,0
